                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7615,                 3.0125,                 1.4202,                0.00091,                0.43023,                0.04906,                0.01262,                0.76558,                 1.1672,                 1.6738,               0.096853,               3.15e-06,               3.15e-06
                      2,                0.65275,                 1.4496,                 1.1791,                0.00109,                0.47368,                0.02334,                 0.0059,                  0.771,                 1.5291,                 1.3366,               0.093656,               6.35e-06,               6.35e-06
                      3,                0.60061,                  1.416,                 1.0496,                0.07401,                0.51469,                0.09086,                0.03097,                0.46889,                 1.6758,                0.85552,                0.09046,               9.55e-06,               9.55e-06
                      4,                0.49715,                 1.4376,                0.82482,                  0.321,                0.43059,                0.25152,                0.12388,                 0.5846,                  1.745,                 1.0973,               0.087263,              1.275e-05,              1.275e-05
                      5,                0.51281,                 1.3701,                0.88392,                0.05153,                 0.2907,                0.06304,                0.04245,                0.40541,                   1.89,                0.71766,               0.084066,              1.595e-05,              1.595e-05
                      6,                0.47707,                  1.352,                0.81126,                0.08561,                0.28001,                  0.127,                0.07679,                 0.4255,                 1.7235,                0.72216,               0.080869,              1.915e-05,              1.915e-05
                      7,                0.48648,                 1.2947,                0.82088,                0.57194,                0.12791,                0.06695,                0.03888,                0.51253,                 1.4662,                0.94576,               0.077672,              2.235e-05,              2.235e-05
                      8,                0.51515,                 1.2097,                0.88735,                0.04086,                0.32558,                0.10952,                0.05407,                0.52842,                 1.4983,                0.92773,               0.074476,              2.555e-05,              2.555e-05
                      9,                0.46872,                 1.2507,                0.80945,                0.41505,                0.47307,                0.28891,                0.15495,                 0.4174,                 1.7162,                0.72155,               0.071279,              2.875e-05,              2.875e-05
                     10,                0.48126,                 1.1711,                0.85034,                0.23994,                0.18932,                0.25793,                0.09669,                 0.5999,                 1.5128,                 1.0885,               0.068082,              3.195e-05,              3.195e-05
                     11,                0.46707,                 1.1479,                 0.7909,                0.59372,                0.26713,                0.26517,                0.19134,                0.32162,                 1.7006,                0.56148,               0.064885,              3.515e-05,              3.515e-05
                     12,                0.46082,                 1.1551,                0.79607,                0.30583,                0.38494,                0.28734,                0.20678,                0.37306,                 1.3632,                0.62828,               0.061688,              3.835e-05,              3.835e-05
                     13,                0.40346,                 1.0832,                0.67636,                 0.3772,                0.52203,                 0.3927,                0.27334,                0.33903,                 1.2063,                0.62194,               0.058492,              4.155e-05,              4.155e-05
                     14,                0.37947,                 1.0485,                0.62818,                 0.4583,                0.43207,                0.36429,                0.22173,                0.39602,                 1.1482,                0.68289,               0.055295,              4.475e-05,              4.475e-05
                     15,                0.39246,                  1.024,                0.63682,                  0.534,                0.44584,                0.49326,                0.29104,                0.41077,                 1.2562,                0.75944,               0.052098,              4.795e-05,              4.795e-05
