                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4412,                  11.67,                 8.4075,                0.00233,                0.54516,                0.00528,                0.00258,                 5.4205,                 12.759,                   8.21,             0.00054698,             0.00054698,             0.00054698
                      2,                 5.0736,                 10.455,                 7.3672,                0.00417,                0.98592,                0.05494,                 0.0231,                  3.501,                 12.106,                 4.7228,              0.0010972,              0.0010972,              0.0010972
                      3,                 4.4511,                 8.6751,                  5.992,                0.19767,                0.11506,                 0.1596,                0.08712,                 3.1903,                 10.027,                 4.6794,              0.0016419,              0.0016419,              0.0016419
                      4,                 3.8834,                  7.253,                 5.3019,                0.15351,                0.16122,                0.15157,                0.10328,                 2.6916,                 6.9096,                 4.1275,              0.0016422,              0.0016422,              0.0016422
                      5,                 3.3621,                 6.0562,                 4.6867,                  0.222,                0.58958,                0.27515,                0.18216,                 3.0857,                 8.3879,                 4.2326,               0.001634,               0.001634,               0.001634
                      6,                 3.0481,                 5.1554,                 4.2465,                0.35476,                0.60724,                0.40506,                0.27277,                 2.4288,                  4.315,                  3.422,              0.0016257,              0.0016257,              0.0016257
                      7,                 2.7965,                   4.48,                  3.948,                0.49563,                0.66781,                0.49902,                0.40084,                 1.6199,                  3.115,                 2.5008,              0.0016175,              0.0016175,              0.0016175
                      8,                 2.5245,                 3.9436,                 3.6493,                0.42196,                0.73651,                0.48903,                0.38794,                 1.5365,                 2.7115,                 2.4462,              0.0016092,              0.0016092,              0.0016092
                      9,                 2.4672,                 3.6961,                 3.5355,                0.40765,                0.66141,                0.49701,                0.41018,                  1.511,                 2.5646,                 2.4233,               0.001601,               0.001601,               0.001601
                     10,                 2.3102,                 3.4524,                 3.3925,                0.43598,                0.69549,                0.49806,                0.41081,                 1.5186,                 2.5221,                 2.3764,              0.0015927,              0.0015927,              0.0015927
                     11,                  2.218,                 3.2805,                 3.3161,                0.39349,                0.70867,                0.49466,                 0.4018,                 1.4786,                 2.8191,                 2.3029,              0.0015845,              0.0015845,              0.0015845
                     12,                  2.087,                 3.1447,                 3.1964,                 0.5054,                0.74091,                0.63292,                0.55318,                 1.1762,                 1.9673,                 2.1424,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.9062,                 2.9101,                 3.0547,                0.58342,                0.72957,                0.70984,                0.62248,                 1.2279,                   1.86,                 2.1198,               0.001568,               0.001568,               0.001568
                     14,                 1.9675,                 2.8707,                  3.065,                0.54749,                0.77934,                 0.6975,                0.58819,                  1.276,                 1.9701,                  2.179,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.8953,                 2.7131,                 2.9871,                0.69493,                0.65603,                0.72256,                0.63759,                 1.1696,                 1.7812,                 2.1047,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.9276,                 2.6723,                 2.9935,                0.71513,                0.61315,                0.71671,                0.62953,                 1.1627,                 1.7311,                 2.0914,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.8644,                 2.6358,                 2.9734,                0.51479,                0.78134,                0.66673,                0.57609,                 1.1341,                 2.1548,                 2.1057,               0.001535,               0.001535,               0.001535
                     18,                 1.8038,                 2.5763,                 2.8902,                0.69655,                0.67465,                0.73138,                0.63818,                 1.1962,                 1.7081,                 2.0901,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.8246,                  2.562,                 2.8811,                0.55788,                0.83033,                0.73221,                 0.6392,                 1.0899,                  1.764,                 2.0475,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.8196,                 2.5195,                 2.8639,                0.73533,                0.62494,                0.72744,                0.63544,                 1.0975,                 1.6733,                 2.0454,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.7506,                 2.4481,                 2.8428,                0.68059,                0.61606,                0.64398,                0.55846,                 1.2192,                 2.0802,                 2.1343,               0.001502,               0.001502,               0.001502
                     22,                 1.6646,                 2.3439,                 2.7417,                0.67506,                0.75841,                0.76373,                0.66083,                 1.0767,                 1.5928,                 2.0233,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.6722,                  2.275,                 2.7778,                0.54953,                0.72212,                  0.741,                0.66113,                 1.0515,                 1.9325,                 1.9966,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.6688,                 2.3208,                 2.7481,                0.57936,                0.72066,                0.69737,                0.60865,                 1.0998,                 1.8293,                 2.0342,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.6757,                 2.2824,                 2.7808,                0.66718,                0.78456,                0.75155,                0.66482,                 1.0334,                 1.6208,                  1.987,               0.001469,               0.001469,               0.001469
                     26,                 1.6485,                 2.3056,                 2.7452,                0.56892,                0.72939,                0.67323,                0.58418,                 1.1292,                 1.7913,                  2.093,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.5706,                 2.2394,                 2.7182,                0.53145,                0.81085,                0.67389,                0.59174,                 1.0524,                 1.8212,                 2.0095,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.5671,                 2.2705,                 2.7083,                0.65313,                0.73243,                0.73293,                0.63679,                 1.1218,                 1.6133,                  2.081,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.6056,                 2.2511,                 2.6918,                0.63974,                0.80883,                0.75865,                 0.6694,                 1.0544,                  1.591,                 1.9966,               0.001436,               0.001436,               0.001436
