                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7144,                 3.4338,                 4.0702,                0.00421,                      1,                0.21446,                0.04611,                 2.8487,                 3.4233,                   4.07,             0.00054698,             0.00054698,             0.00054698
                      2,                 2.1381,                 2.7376,                 3.2668,                0.27978,                0.85832,                0.41181,                0.22141,                 1.6679,                 9.9927,                 2.5747,              0.0010972,              0.0010972,              0.0010972
                      3,                 1.8793,                 2.4116,                 2.6895,                0.19707,                0.55294,                0.22575,                0.13748,                 1.5071,                 7.5937,                  2.414,              0.0016419,              0.0016419,              0.0016419
                      4,                 1.6342,                   2.19,                 2.3156,                0.38489,                0.88923,                 0.4939,                0.35609,                 0.9369,                 4.7991,                 1.6041,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.5162,                  2.101,                 2.1585,                0.31655,                0.85166,                0.36113,                0.26271,                0.91213,                  8.335,                  1.482,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.2963,                 1.8486,                  1.903,                0.44493,                 0.9222,                0.57523,                0.48104,                0.80352,                 1.5696,                 1.3151,               0.001634,               0.001634,               0.001634
                      7,                 1.1694,                 1.6902,                 1.7769,                0.44538,                0.94072,                0.49991,                0.41663,                0.75296,                 1.5204,                 1.2919,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.0935,                 1.5804,                 1.7077,                0.46216,                0.92936,                 0.5549,                0.45439,                0.73096,                 1.9602,                 1.2361,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.0351,                 1.5497,                 1.6261,                0.42529,                0.94737,                0.52458,                0.45301,                0.65747,                 1.5038,                 1.1565,              0.0016092,              0.0016092,              0.0016092
                     10,                0.96979,                 1.4567,                 1.5647,                0.38729,                0.93421,                0.47986,                 0.3963,                0.65682,                 1.2989,                 1.1884,               0.001601,               0.001601,               0.001601
                     11,                0.95694,                 1.3984,                 1.5357,                0.42767,                0.94737,                0.55506,                0.49157,                0.58957,                 1.1939,                 1.0954,              0.0015927,              0.0015927,              0.0015927
                     12,                0.90145,                 1.3274,                 1.4793,                0.46008,                 0.8978,                0.61516,                0.53662,                0.64847,                 1.1888,                 1.1328,              0.0015845,              0.0015845,              0.0015845
                     13,                0.90225,                 1.2952,                 1.4827,                0.41455,                0.89627,                0.55892,                 0.4814,                0.66337,                 1.3303,                 1.1681,              0.0015762,              0.0015762,              0.0015762
                     14,                0.81833,                  1.239,                 1.4202,                0.43934,                0.97465,                  0.563,                 0.4877,                0.63343,                 1.0903,                 1.1025,               0.001568,               0.001568,               0.001568
                     15,                0.80232,                 1.2251,                 1.4022,                0.45409,                0.93574,                0.59037,                0.52863,                0.56345,                 1.1359,                 1.0654,              0.0015597,              0.0015597,              0.0015597
                     16,                 0.8134,                 1.2048,                 1.4174,                 0.4627,                 0.9489,                0.62523,                0.54772,                0.59504,                 1.0508,                 1.1032,              0.0015515,              0.0015515,              0.0015515
