                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7954,                 3.5964,                 4.0495,                0.00406,                      1,                0.01433,                0.00428,                 2.8736,                 3.6225,                 4.1241,             0.00054698,             0.00054698,             0.00054698
                      2,                 2.3886,                 2.9873,                 3.3503,                0.27578,                0.50545,                0.24211,                0.06076,                 2.3582,                 3.0713,                 3.5015,              0.0010972,              0.0010972,              0.0010972
                      3,                  2.042,                 2.4948,                 2.7136,                0.20969,                0.28892,                0.27515,                0.08138,                 2.1603,                 3.1999,                 3.0735,              0.0016419,              0.0016419,              0.0016419
                      4,                 1.7487,                 2.2373,                 2.3741,                0.45506,                0.65423,                0.51539,                0.32576,                 1.3971,                 1.8999,                 2.1076,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.6069,                 2.0145,                 2.2014,                0.49981,                0.81177,                0.54594,                0.34782,                  1.232,                 1.8786,                 1.7892,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.4756,                 1.8684,                 2.0447,                0.45694,                  0.837,                0.56008,                0.44978,                0.86193,                 1.4638,                 1.4573,               0.001634,               0.001634,               0.001634
                      7,                 1.3356,                 1.7298,                 1.8869,                0.48198,                0.87108,                0.60258,                0.49286,                0.78858,                 1.3057,                  1.317,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.2441,                 1.6166,                 1.8133,                0.43287,                0.91258,                0.58263,                0.47186,                0.75024,                 1.3277,                 1.3217,              0.0016175,              0.0016175,              0.0016175
                      9,                  1.232,                 1.5899,                 1.7852,                0.44705,                0.89221,                0.60694,                0.45113,                0.98012,                 1.2694,                 1.4437,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.1285,                 1.4863,                 1.6756,                0.51356,                0.88479,                0.67207,                0.57348,                0.64596,                 1.1885,                  1.177,               0.001601,               0.001601,               0.001601
                     11,                 1.0556,                 1.4372,                  1.621,                0.49645,                0.87369,                 0.6819,                0.58486,                0.64172,                  1.219,                 1.1868,              0.0015927,              0.0015927,              0.0015927
                     12,                 1.0159,                 1.3739,                 1.5722,                  0.649,                0.77953,                0.75989,                0.63194,                0.71411,                0.99475,                 1.2018,              0.0015845,              0.0015845,              0.0015845
                     13,                  1.007,                 1.3055,                 1.5742,                 0.7274,                0.68244,                0.75886,                0.63189,                0.71745,                 1.0564,                 1.1759,              0.0015762,              0.0015762,              0.0015762
                     14,                0.94891,                 1.2416,                 1.5107,                0.62999,                0.72702,                0.72503,                0.60602,                0.72502,                 1.0488,                 1.1799,               0.001568,               0.001568,               0.001568
                     15,                 0.9253,                  1.211,                 1.4872,                0.71226,                0.78507,                0.75838,                0.62532,                0.71133,                 0.9732,                 1.2009,              0.0015597,              0.0015597,              0.0015597
                     16,                 0.9649,                 1.2124,                 1.5069,                0.63289,                0.77777,                 0.7844,                0.66985,                 0.6561,                 0.9846,                 1.1354,              0.0015515,              0.0015515,              0.0015515
                     17,                0.92711,                 1.1858,                 1.4779,                0.51656,                0.86354,                0.77434,                0.65498,                0.62592,                  1.084,                  1.112,              0.0015432,              0.0015432,              0.0015432
                     18,                 0.8725,                 1.1485,                 1.4312,                0.69765,                0.72622,                0.78068,                0.67967,                0.55634,                 0.9392,                 1.0766,               0.001535,               0.001535,               0.001535
                     19,                0.89503,                 1.1509,                 1.4308,                 0.6769,                0.73502,                0.75726,                0.64708,                0.63633,                0.94364,                 1.0844,              0.0015267,              0.0015267,              0.0015267
                     20,                0.86521,                 1.1442,                 1.4262,                0.67044,                0.78866,                0.78783,                0.68621,                0.54977,                0.87686,                 1.0699,              0.0015185,              0.0015185,              0.0015185
                     21,                0.83421,                 1.1106,                 1.3843,                0.70471,                0.81019,                0.80264,                0.69964,                0.61571,                0.88197,                 1.0875,              0.0015102,              0.0015102,              0.0015102
                     22,                0.82917,                 1.1083,                 1.3956,                0.67132,                0.80958,                0.82282,                0.72027,                 0.5614,                0.82702,                 1.0682,               0.001502,               0.001502,               0.001502
                     23,                 0.8253,                 1.0938,                 1.3747,                   0.79,                0.72431,                0.80225,                0.70044,                0.55244,                0.83843,                 1.0561,              0.0014937,              0.0014937,              0.0014937
                     24,                0.79575,                 1.0728,                 1.3578,                0.70378,                 0.7357,                0.80018,                0.70145,                 0.5503,                0.93981,                 1.0595,              0.0014855,              0.0014855,              0.0014855
                     25,                0.79679,                 1.0369,                 1.3643,                0.70608,                0.80582,                0.78358,                0.68249,                0.56871,                0.90339,                 1.0743,              0.0014772,              0.0014772,              0.0014772
                     26,                0.78029,                 1.0898,                 1.3499,                0.70178,                0.81878,                0.79342,                0.68811,                0.58103,                0.94654,                 1.0669,               0.001469,               0.001469,               0.001469
                     27,                0.77724,                 1.0488,                 1.3356,                0.74869,                0.80155,                0.84589,                0.73887,                0.55758,                0.89417,                 1.0654,              0.0014607,              0.0014607,              0.0014607
                     28,                  0.758,                 1.0295,                 1.3362,                0.38632,                    0.6,                0.64389,                  0.556,                 0.5707,                 1.7064,                 1.0579,              0.0014525,              0.0014525,              0.0014525
                     29,                0.75595,                  1.015,                 1.3235,                0.65557,                0.82141,                0.79243,                0.68258,                 0.5625,                0.88806,                 1.0723,              0.0014442,              0.0014442,              0.0014442
                     30,                0.75488,                0.97629,                 1.3288,                0.67939,                0.84194,                0.84062,                0.73944,                0.54394,                0.94973,                 1.0493,               0.001436,               0.001436,               0.001436
                     31,                0.75539,                0.99424,                 1.3181,                0.70307,                0.78469,                0.80664,                 0.6995,                0.51528,                0.90273,                 1.0343,              0.0014277,              0.0014277,              0.0014277
                     32,                0.72914,                0.98141,                 1.3044,                0.56168,                0.81632,                0.81566,                0.71498,                 0.5278,                 1.2458,                 1.0432,              0.0014195,              0.0014195,              0.0014195
                     33,                 0.7359,                0.99198,                 1.3018,                0.64989,                0.83735,                0.85589,                 0.7601,                 0.5214,                0.85461,                 1.0219,              0.0014112,              0.0014112,              0.0014112
                     34,                0.74208,                0.95368,                 1.3121,                0.70617,                0.81774,                0.82448,                0.72666,                0.50768,                 0.9095,                 1.0252,              0.0014029,              0.0014029,              0.0014029
                     35,                0.72495,                0.93674,                 1.2947,                0.66684,                0.82116,                0.81916,                0.71594,                0.51799,                0.85626,                 1.0337,              0.0013947,              0.0013947,              0.0013947
                     36,                0.73864,                0.94509,                 1.3099,                0.59315,                0.82679,                0.84044,                0.74055,                0.55037,                0.97099,                 1.0535,              0.0013864,              0.0013864,              0.0013864
                     37,                0.73807,                0.93434,                 1.3132,                0.67133,                0.76098,                0.84756,                0.74937,                0.51627,                 0.8757,                 1.0306,              0.0013782,              0.0013782,              0.0013782
                     38,                0.72028,                0.90794,                 1.2894,                 0.6267,                0.89406,                0.85979,                0.75751,                0.53565,                0.84717,                 1.0585,              0.0013699,              0.0013699,              0.0013699
                     39,                0.68359,                0.89326,                  1.261,                0.70485,                0.84767,                0.82802,                0.73374,                0.52585,                0.81509,                 1.0231,              0.0013617,              0.0013617,              0.0013617
                     40,                0.72747,                0.89512,                 1.2894,                0.76047,                0.77761,                0.85961,                  0.744,                0.55135,                0.82815,                 1.0514,              0.0013534,              0.0013534,              0.0013534
                     41,                0.71242,                 0.9354,                 1.2819,                0.69226,                0.83399,                0.82091,                0.72397,                0.48915,                0.91725,                 1.0218,              0.0013452,              0.0013452,              0.0013452
                     42,                0.68476,                0.89876,                 1.2567,                0.52004,                0.82373,                0.81645,                0.72292,                0.51286,                 1.2013,                 1.0229,              0.0013369,              0.0013369,              0.0013369
                     43,                0.70391,                0.90868,                 1.2824,                0.81944,                0.75512,                0.84569,                0.74881,                0.49591,                0.77848,                 1.0169,              0.0013287,              0.0013287,              0.0013287
                     44,                0.70653,                0.86859,                 1.2784,                0.69923,                0.79061,                0.82191,                0.73478,                0.49974,                 0.9116,                 1.0171,              0.0013204,              0.0013204,              0.0013204
                     45,                0.69146,                0.91149,                 1.2675,                0.78199,                0.79474,                0.86564,                0.76079,                0.53171,                0.75429,                 1.0415,              0.0013122,              0.0013122,              0.0013122
                     46,                0.66884,                0.88925,                 1.2565,                0.76944,                0.79286,                0.83706,                0.73985,                0.49892,                0.78752,                  1.009,              0.0013039,              0.0013039,              0.0013039
                     47,                0.67652,                0.87612,                 1.2641,                0.56879,                0.82667,                0.77209,                0.69336,                0.49098,                  1.157,                 1.0065,              0.0012957,              0.0012957,              0.0012957
                     48,                0.66267,                0.85193,                 1.2484,                0.72976,                0.81995,                0.83145,                0.74046,                0.47114,                0.81257,                0.99554,              0.0012874,              0.0012874,              0.0012874
                     49,                0.67235,                0.85415,                 1.2479,                0.69893,                0.82629,                0.88476,                0.78007,                0.51735,                0.81894,                 1.0311,              0.0012792,              0.0012792,              0.0012792
                     50,                0.67995,                0.85831,                 1.2641,                0.71608,                0.78322,                0.84564,                0.75507,                0.49294,                0.89487,                 1.0185,              0.0012709,              0.0012709,              0.0012709
                     51,                0.66847,                0.85883,                 1.2522,                0.77123,                0.77862,                0.83541,                0.74074,                0.47991,                0.79528,                 1.0079,              0.0012627,              0.0012627,              0.0012627
                     52,                0.65694,                0.81093,                 1.2507,                0.78893,                0.84264,                0.88378,                 0.7822,                0.50804,                0.66926,                 1.0166,              0.0012544,              0.0012544,              0.0012544
                     53,                0.63543,                0.83434,                 1.2243,                0.86253,                0.80732,                0.89594,                 0.8079,                0.48278,                0.68421,                0.99356,              0.0012462,              0.0012462,              0.0012462
                     54,                0.64936,                0.80063,                 1.2392,                0.76689,                0.84047,                0.86851,                0.76932,                0.49319,                0.70149,                 1.0009,              0.0012379,              0.0012379,              0.0012379
                     55,                0.66792,                0.85031,                 1.2539,                0.84032,                0.79249,                0.87543,                0.78156,                0.47939,                0.67673,                 1.0004,              0.0012297,              0.0012297,              0.0012297
                     56,                0.63137,                0.80411,                 1.2252,                0.80869,                0.80695,                0.86813,                 0.7811,                0.47809,                0.67626,                0.99873,              0.0012214,              0.0012214,              0.0012214
                     57,                0.66319,                0.84933,                  1.245,                0.55219,                0.80065,                0.73485,                 0.6486,                 0.4958,                 1.1583,                 1.0198,              0.0012132,              0.0012132,              0.0012132
