                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7402,                 3.6065,                 4.0684,                0.00577,                      1,                0.24107,                0.07784,                 2.5772,                 3.5984,                 3.9633,             0.00054698,             0.00054698,             0.00054698
                      2,                 2.2348,                 2.8359,                 3.3291,                0.00395,                0.96206,                0.02856,                0.00617,                 2.6149,                 4.0416,                 3.9843,              0.0010972,              0.0010972,              0.0010972
                      3,                 1.9035,                 2.5091,                 2.7799,                0.25285,                0.61353,                0.26005,                0.11441,                 2.0019,                 3.5073,                 2.9854,              0.0016419,              0.0016419,              0.0016419
                      4,                 1.6473,                 2.2041,                 2.4246,                0.36914,                 0.8164,                0.49696,                0.25663,                 1.6068,                 2.6808,                 2.2841,              0.0016422,              0.0016422,              0.0016422
                      5,                  1.449,                 1.9679,                 2.1966,                0.41377,                0.88617,                0.51426,                0.36565,                 1.0643,                  1.932,                 1.7947,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.3101,                 1.8229,                 2.0119,                0.36546,                0.61471,                0.46489,                0.25215,                 1.4454,                 2.3834,                 2.2501,               0.001634,               0.001634,               0.001634
                      7,                  1.237,                  1.708,                 1.9071,                0.47977,                0.88932,                0.55354,                0.43285,                 1.0083,                 1.5749,                  1.558,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.2066,                 1.6089,                 1.8416,                0.43556,                0.72803,                0.52148,                0.37967,                 1.0431,                 1.6303,                 1.6734,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.1528,                 1.5877,                 1.7762,                0.45463,                0.87148,                0.53826,                0.44625,                0.79871,                 1.3836,                 1.3732,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.0554,                 1.4971,                 1.6905,                0.45968,                0.83998,                0.51417,                0.39649,                0.95574,                 1.4355,                 1.4423,               0.001601,               0.001601,               0.001601
                     11,                0.98175,                 1.4124,                 1.6008,                 0.4763,                0.86973,                0.57954,                0.48714,                0.70696,                 1.2065,                 1.2543,              0.0015927,              0.0015927,              0.0015927
                     12,                0.94412,                 1.3672,                  1.554,                0.38833,                0.87607,                0.50181,                0.39913,                0.82038,                 1.3055,                 1.3983,              0.0015845,              0.0015845,              0.0015845
                     13,                0.93587,                 1.3249,                 1.5615,                0.44425,                0.88438,                0.50073,                0.41628,                0.65067,                 1.1938,                 1.2401,              0.0015762,              0.0015762,              0.0015762
                     14,                0.92582,                 1.2829,                 1.5301,                0.47187,                0.87148,                0.54336,                0.45921,                0.72223,                 1.1788,                 1.2849,               0.001568,               0.001568,               0.001568
                     15,                0.85806,                  1.248,                 1.4914,                0.45575,                0.91248,                0.56097,                0.46998,                0.74105,                 1.1823,                 1.3039,              0.0015597,              0.0015597,              0.0015597
                     16,                 0.8658,                 1.2365,                 1.4933,                0.45909,                0.93574,                0.66007,                0.54453,                0.63392,                  1.078,                 1.2306,              0.0015515,              0.0015515,              0.0015515
                     17,                0.84715,                 1.1817,                 1.4818,                0.47959,                0.87301,                0.65292,                0.56694,                0.59191,                 1.0897,                 1.2438,              0.0015432,              0.0015432,              0.0015432
                     18,                0.78841,                 1.1319,                 1.4322,                0.49224,                0.90942,                0.68077,                0.57719,                0.60967,                  1.098,                 1.2338,               0.001535,               0.001535,               0.001535
                     19,                0.84133,                 1.1463,                 1.4666,                0.60161,                0.77693,                0.74735,                 0.6278,                0.72716,                  1.003,                  1.297,              0.0015267,              0.0015267,              0.0015267
                     20,                0.80702,                 1.1282,                 1.4499,                0.76049,                0.72353,                0.76289,                0.64922,                0.64452,                 1.0431,                 1.2246,              0.0015185,              0.0015185,              0.0015185
                     21,                0.77416,                 1.0681,                 1.4031,                0.70227,                0.84272,                0.78916,                0.67402,                0.64062,                0.95032,                 1.2352,              0.0015102,              0.0015102,              0.0015102
                     22,                0.77205,                 1.0247,                  1.395,                0.52304,                0.85372,                0.75642,                0.64876,                0.62443,                 1.1683,                 1.2262,               0.001502,               0.001502,               0.001502
                     23,                0.75741,                  1.043,                 1.3805,                0.65436,                 0.8393,                0.79998,                0.70528,                0.57455,                0.85646,                 1.1782,              0.0014937,              0.0014937,              0.0014937
                     24,                 0.7549,                 1.0522,                 1.3816,                0.64364,                0.89746,                   0.81,                0.66223,                0.68588,                 0.9153,                 1.2738,              0.0014855,              0.0014855,              0.0014855
