                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8855,                 3.8803,                 4.1865,                0.00628,                0.94667,                0.01218,                0.00321,                 2.8999,                 3.6872,                 4.1351,             0.00054698,             0.00054698,             0.00054698
                      2,                 2.7572,                 3.5414,                 3.7229,                0.11606,                0.49568,                0.19187,                0.11595,                 1.9938,                 13.716,                 2.8613,              0.0010972,              0.0010972,              0.0010972
                      3,                 2.5335,                 3.1564,                 3.1774,                0.02408,                0.91887,                0.03146,                0.01368,                 2.3973,                 150.81,                 7.9196,              0.0016419,              0.0016419,              0.0016419
                      4,                 2.2459,                 2.7739,                 2.8717,                0.01281,                0.56836,                0.01448,                0.00668,                 2.0417,                 9.8997,                  2.623,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.9592,                 2.4074,                 2.5755,                0.41699,                  0.717,                0.42983,                0.26825,                 1.5113,                 2.0495,                 2.0922,               0.001634,               0.001634,               0.001634
                      6,                 1.7812,                 2.1792,                 2.3725,                0.42467,                0.76254,                0.46196,                0.28156,                 1.4223,                 1.8422,                 1.8891,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.5683,                 1.9939,                 2.1547,                0.39067,                 0.5169,                0.33281,                0.23086,                 1.3119,                 2.4868,                 2.1162,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.3581,                 1.7821,                 1.9683,                 0.3093,                0.69828,                0.30891,                0.22362,                 1.0227,                 1.9502,                  1.585,              0.0016092,              0.0016092,              0.0016092
                      9,                  1.307,                 1.7022,                 1.8943,                0.32702,                0.75221,                0.41495,                0.31544,                0.87966,                 1.5789,                 1.3954,               0.001601,               0.001601,               0.001601
                     10,                 1.1998,                 1.6396,                 1.7999,                0.51252,                0.77099,                0.56651,                0.46603,                0.71897,                 1.6199,                 1.2643,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1788,                 1.5715,                 1.7868,                0.50904,                0.81555,                0.63507,                0.50198,                0.88875,                 1.2752,                 1.3489,              0.0015845,              0.0015845,              0.0015845
                     12,                  1.099,                 1.5098,                 1.7124,                0.59693,                0.63715,                 0.6308,                0.53734,                0.69608,                 1.2773,                 1.2194,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.0164,                 1.3805,                 1.6395,                0.51788,                0.79324,                0.69496,                 0.5904,                0.66875,                 1.1282,                 1.2043,               0.001568,               0.001568,               0.001568
                     14,                 1.0162,                 1.3722,                 1.6371,                0.45534,                0.83991,                0.64883,                 0.5313,                0.76175,                 1.1984,                  1.232,              0.0015597,              0.0015597,              0.0015597
                     15,                0.94294,                 1.2975,                 1.5761,                0.63405,                0.71889,                0.74809,                0.64494,                0.58823,                 1.0104,                 1.1091,              0.0015515,              0.0015515,              0.0015515
                     16,                0.95912,                 1.2986,                 1.5705,                0.50912,                0.74986,                0.65382,                0.55851,                0.65683,                 1.2028,                 1.1647,              0.0015432,              0.0015432,              0.0015432
                     17,                0.96681,                 1.2783,                 1.5747,                0.70784,                0.74151,                0.76162,                0.64931,                0.66534,                0.98986,                 1.1466,               0.001535,               0.001535,               0.001535
                     18,                0.90617,                 1.2485,                 1.5287,                0.49858,                0.84592,                0.73165,                0.63491,                 0.5779,                 1.0749,                 1.0903,              0.0015267,              0.0015267,              0.0015267
                     19,                0.90887,                 1.2178,                 1.5266,                0.55081,                0.72394,                0.68978,                0.60027,                0.56802,                 1.0415,                 1.1199,              0.0015185,              0.0015185,              0.0015185
                     20,                0.89499,                 1.2289,                 1.5059,                0.71973,                0.75615,                0.78275,                0.66765,                0.61903,                0.94084,                  1.133,              0.0015102,              0.0015102,              0.0015102
                     21,                0.86058,                 1.1892,                 1.4864,                0.61587,                0.75617,                0.78311,                0.67777,                0.54411,                 0.9618,                 1.0825,               0.001502,               0.001502,               0.001502
                     22,                0.80998,                 1.1355,                 1.4434,                0.69908,                0.81878,                0.82282,                0.69729,                0.63583,                0.87972,                 1.1782,              0.0014937,              0.0014937,              0.0014937
                     23,                0.83144,                  1.121,                 1.4558,                0.58093,                0.85238,                0.75256,                0.64711,                0.56568,                0.97972,                 1.1171,              0.0014855,              0.0014855,              0.0014855
                     24,                0.83816,                 1.1427,                 1.4526,                0.76026,                 0.6943,                0.77797,                0.65759,                0.61039,                 1.0116,                 1.1227,              0.0014772,              0.0014772,              0.0014772
                     25,                0.84452,                 1.1192,                 1.4701,                0.62964,                0.80715,                0.78363,                0.65967,                0.60758,                0.95642,                 1.1222,               0.001469,               0.001469,               0.001469
                     26,                0.80845,                 1.0917,                 1.4275,                0.76671,                0.70282,                 0.8079,                0.69634,                 0.5809,                  0.869,                 1.1129,              0.0014607,              0.0014607,              0.0014607
                     27,                0.78904,                  1.076,                 1.4135,                0.63923,                  0.793,                0.75946,                0.66371,                0.56308,                0.91047,                 1.0814,              0.0014525,              0.0014525,              0.0014525
                     28,                0.78831,                 1.1038,                 1.4243,                0.73356,                0.77878,                0.80034,                0.68745,                0.57201,                0.94422,                 1.0905,              0.0014442,              0.0014442,              0.0014442
                     29,                0.79755,                 1.1122,                 1.4096,                 0.6257,                0.79899,                0.76515,                0.66139,                0.57484,                0.93164,                 1.0789,               0.001436,               0.001436,               0.001436
                     30,                0.77549,                 1.0749,                 1.3971,                0.69681,                0.78853,                0.78473,                 0.6838,                0.54681,                0.94006,                 1.0766,              0.0014277,              0.0014277,              0.0014277
                     31,                0.78463,                 1.0566,                 1.4007,                0.80196,                0.74657,                 0.8447,                0.73705,                0.55191,                0.80608,                 1.0694,              0.0014195,              0.0014195,              0.0014195
                     32,                0.75287,                  1.026,                 1.3846,                0.78055,                0.74087,                0.82469,                0.71963,                 0.5374,                 0.8249,                 1.0829,              0.0014112,              0.0014112,              0.0014112
                     33,                0.77762,                 1.0064,                 1.3921,                0.38881,                   0.78,                0.69403,                 0.6049,                0.56142,                 1.3326,                 1.0767,              0.0014029,              0.0014029,              0.0014029
                     34,                 0.7402,                0.98995,                 1.3558,                0.68307,                0.80273,                0.80917,                0.71703,                0.51579,                0.82939,                 1.0429,              0.0013947,              0.0013947,              0.0013947
                     35,                0.74569,                 1.0348,                 1.3774,                0.62205,                0.79962,                0.83873,                0.73338,                0.54485,                 1.0061,                  1.072,              0.0013864,              0.0013864,              0.0013864
                     36,                  0.757,                 1.0339,                 1.3919,                0.68004,                0.76911,                0.77875,                0.67283,                0.56374,                0.97583,                 1.0959,              0.0013782,              0.0013782,              0.0013782
                     37,                0.75844,                 1.0073,                 1.3818,                0.73247,                0.83046,                0.83431,                0.72933,                0.52427,                 0.8134,                 1.0716,              0.0013699,              0.0013699,              0.0013699
                     38,                0.72749,                0.98582,                 1.3702,                0.77065,                0.71056,                0.84498,                0.74319,                 0.5432,                 0.8636,                 1.0791,              0.0013617,              0.0013617,              0.0013617
                     39,                0.70226,                0.97315,                 1.3369,                0.59662,                0.83887,                0.82769,                0.73921,                0.50259,                0.88663,                 1.0541,              0.0013534,              0.0013534,              0.0013534
                     40,                 0.7158,                0.94839,                 1.3505,                0.67059,                0.80699,                0.81728,                0.72554,                0.52917,                0.84286,                 1.0588,              0.0013452,              0.0013452,              0.0013452
                     41,                0.72957,                0.99189,                 1.3561,                 0.6235,                0.74848,                 0.7905,                0.69648,                 0.5834,                0.93285,                 1.0774,              0.0013369,              0.0013369,              0.0013369
                     42,                0.71321,                0.96834,                 1.3351,                0.75869,                0.80507,                0.82909,                0.70486,                0.58714,                0.84696,                 1.1171,              0.0013287,              0.0013287,              0.0013287
                     43,                0.70381,                0.96894,                 1.3406,                0.74429,                 0.7862,                 0.8241,                0.73076,                0.50737,                0.83065,                 1.0294,              0.0013204,              0.0013204,              0.0013204
                     44,                0.74446,                0.97821,                 1.3706,                0.71869,                0.82245,                0.83413,                0.73601,                0.49381,                0.78993,                 1.0213,              0.0013122,              0.0013122,              0.0013122
                     45,                0.71214,                0.96624,                 1.3465,                0.77129,                0.79075,                0.83606,                0.73765,                0.50011,                0.78198,                 1.0445,              0.0013039,              0.0013039,              0.0013039
                     46,                0.71065,                0.92268,                 1.3168,                0.77209,                0.71211,                0.82642,                0.72825,                0.51478,                0.85817,                 1.0545,              0.0012957,              0.0012957,              0.0012957
                     47,                    0.7,                0.93127,                  1.331,                 0.6842,                0.71733,                0.82817,                0.73254,                 0.5086,                 0.8562,                 1.0525,              0.0012874,              0.0012874,              0.0012874
                     48,                 0.7025,                0.94788,                 1.3394,                 0.5096,                0.87333,                0.76508,                0.67398,                0.50575,                 1.0828,                 1.0373,              0.0012792,              0.0012792,              0.0012792
                     49,                0.69007,                0.92051,                 1.3235,                0.74917,                0.75625,                0.84378,                0.73497,                0.56508,                0.80837,                 1.0779,              0.0012709,              0.0012709,              0.0012709
                     50,                0.71168,                0.91937,                  1.337,                0.51487,                0.76948,                0.75091,                0.65649,                0.50404,                 1.6273,                 1.0331,              0.0012627,              0.0012627,              0.0012627
                     51,                0.69925,                0.93815,                 1.3244,                0.83209,                0.69728,                0.82527,                0.73022,                0.52864,                0.82696,                 1.0517,              0.0012544,              0.0012544,              0.0012544
                     52,                0.72934,                   0.93,                 1.3452,                0.75523,                0.81624,                0.85091,                0.75475,                0.47326,                0.76613,                 1.0287,              0.0012462,              0.0012462,              0.0012462
                     53,                0.65344,                0.88607,                 1.2902,                0.70999,                0.85258,                0.83794,                0.74032,                 0.4919,                0.81035,                  1.058,              0.0012379,              0.0012379,              0.0012379
                     54,                 0.6904,                0.93253,                 1.3233,                 0.7916,                0.76093,                0.85047,                0.76122,                0.47778,                0.75747,                 1.0373,              0.0012297,              0.0012297,              0.0012297
                     55,                0.67296,                0.87178,                 1.3025,                0.71429,                0.83146,                0.87748,                0.78475,                0.49157,                0.74362,                 1.0265,              0.0012214,              0.0012214,              0.0012214
                     56,                0.65905,                0.89426,                  1.291,                0.77687,                0.77099,                0.83546,                0.74651,                0.48302,                0.81001,                   1.04,              0.0012132,              0.0012132,              0.0012132
                     57,                 0.6678,                0.87814,                 1.2944,                0.77411,                0.74329,                0.87411,                0.77485,                0.50639,                 0.8037,                 1.0438,              0.0012049,              0.0012049,              0.0012049
